"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0002,0.39984,0.66484,1.67142,0.115112,0.0278571,-0.408812
1_1,Constant Potential,120,0.399787,0.664787,1.55907,0.107374,0.0547778,-0.391538
1_1,Constant Potential,180,0.399784,0.664784,1.58582,0.109217,0.0809853,-0.396839
1_1,Constant Potential,240,0.399815,0.664815,2.00189,0.137871,0.110883,-0.535468
1_1,Constant Potential,300,0.3998,0.6648,1.78298,0.122795,0.142423,-0.488822
1_1,Constant Potential,360,0.399815,0.664815,1.71898,0.118387,0.171606,-0.469211
1_1,Constant Potential,420,0.399786,0.664786,1.66423,0.114617,0.1998,-0.46269
1_1,Constant Potential,480,0.399787,0.664787,1.69535,0.11676,0.227796,-0.468274
1_1,Constant Potential,540,0.399776,0.664776,1.68656,0.116154,0.255979,-0.464123
1_1,Constant Potential,600,0.39979,0.66479,1.69131,0.116481,0.284128,-0.466099
1_1,Constant Potential,660,0.399782,0.664782,1.61005,0.110885,0.311639,-0.453565
1_1,Constant Potential,720,0.399766,0.664766,1.76784,0.121752,0.339788,-0.475844
1_1,Constant Potential,780,0.399798,0.664798,1.66837,0.114902,0.368423,-0.456222
1_1,Constant Potential,840,0.399763,0.664763,1.59705,0.10999,0.395635,-0.442497
1_1,Constant Potential,900,0.399782,0.664782,1.57347,0.108366,0.422056,-0.437819
1_1,Constant Potential,960,0.399765,0.664765,1.57459,0.108443,0.44829,-0.437348
1_1,Constant Potential,1020,0.399798,0.664798,1.58978,0.109489,0.47466,-0.438289
1_1,Constant Potential,1080,0.399782,0.664782,1.6308,0.112314,0.501498,-0.445893
1_1,Constant Potential,1140,0.399799,0.664799,1.64909,0.113574,0.52883,-0.449356
1_1,Constant Potential,1200,0.399772,0.664772,1.73053,0.119183,0.556994,-0.48193
1_1,Constant Potential,1260,0.399775,0.664775,1.51711,0.104484,0.584058,-0.44704
1_1,Constant Potential,1320,0.399821,0.664821,1.57365,0.108378,0.609814,-0.458498
1_1,Constant Potential,1380,0.399779,0.664779,1.49077,0.10267,0.635351,-0.438966
1_1,Constant Potential,1440,0.399796,0.664796,1.54421,0.10635,0.660642,-0.447938
1_1,Constant Potential,1500,0.399806,0.664806,0.950365,0.0654521,0.68143,-0.31835
1_1,Constant Potential,1560,0.39978,0.66478,0.908139,0.062544,0.696918,-0.303731
1_1,Constant Potential,1620,0.399785,0.664785,0.914033,0.0629499,0.712103,-0.30445
1_1,Constant Potential,1680,0.39984,0.66484,0.842169,0.0580006,0.726738,-0.287432
1_1,Constant Potential,1740,0.399794,0.664794,0.953813,0.0656896,0.741704,-0.313359
1_1,Constant Potential,1800,0.399807,0.664807,0.798963,0.055025,0.756311,-0.27938
1_1,Constant Potential,1860,0.399795,0.664795,0.957145,0.0659191,0.770945,-0.313752
