"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0001,0.599984,0.864984,0.555721,0.0382728,0.00926203,-0.437221
1_1,Constant Potential,120,0.599957,0.864957,0.440243,0.0303197,0.0175617,-0.404711
1_1,Constant Potential,180,0.599985,0.864985,0.396159,0.0272837,0.0245317,-0.392098
1_1,Constant Potential,240,0.599984,0.864984,0.370399,0.0255096,0.0309197,-0.384465
1_1,Constant Potential,300,0.599946,0.864946,0.355401,0.0244766,0.0369681,-0.379731
1_1,Constant Potential,360,0.599981,0.864981,0.342735,0.0236043,0.0427859,-0.375577
1_1,Constant Potential,420,0.599958,0.864958,0.333954,0.0229996,0.0484249,-0.372287
1_1,Constant Potential,480,0.600015,0.865015,0.326728,0.022502,0.0539306,-0.370287
1_1,Constant Potential,540,0.60001,0.86501,0.321483,0.0221407,0.0593324,-0.369185
1_1,Constant Potential,600,0.599971,0.864971,0.314857,0.0216844,0.0646352,-0.36462
1_1,Constant Potential,660,0.599967,0.864967,0.312368,0.021513,0.0698621,-0.364456
1_1,Constant Potential,720,0.599949,0.864949,0.309932,0.0213452,0.0750479,-0.363904
1_1,Constant Potential,780,0.59998,0.86498,0.306276,0.0210934,0.080183,-0.362692
1_1,Constant Potential,840,0.599988,0.864988,0.304769,0.0209896,0.0852751,-0.362425
1_1,Constant Potential,900,0.599949,0.864949,0.302835,0.0208564,0.0903384,-0.361532
1_1,Constant Potential,960,0.599959,0.864959,0.301623,0.020773,0.0953756,-0.36179
1_1,Constant Potential,1020,0.600038,0.865038,0.30059,0.0207018,0.100394,-0.361723
1_1,Constant Potential,1080,0.599978,0.864978,0.298583,0.0205635,0.105387,-0.360675
1_1,Constant Potential,1140,0.600012,0.865012,0.297195,0.020468,0.110352,-0.359848
