Hours,Well 101,Well 102,Well 103,Well 104,Well 105,Well 106,Well 107,Well 108
0,0.332,0.53,0.43,0.46,0.2,0.11,0.04,0.01
0.4,0.26,0.36,0.37,0.32,0.21,0.2,0.03,0
5.3,0.25,0.37,0.24,0.33,0.22,0.21,0.03,0
20.0,0.4,0.94,0.42,0.54,0.3,0.32,0.33,0.01
50.4,0.42,1.18,0.42,0.55,0.36,0.42,0.43,0.57
68.4,0.6,1.99,1.15,0.99,0.53,0.53,0.71,1.07
93.3,0.68,1.01,0.87,0.537,0.362,0.363,0.343,0.22
115.9,0.45,0.94,0.95,0.58,0.39,0.4,0.36,0.22
